,Expected,Prediction
0,9,8
1,6,6
2,7,7
3,3,4
4,9,8
5,8,8
6,6,6
7,6,6
8,6,6
9,6,6
10,6,6
11,8,8
12,8,8
13,6,6
14,7,8
15,3,7
16,5,7
17,7,7
18,7,7
19,9,8
20,8,8
21,8,8
22,8,8
23,8,8
24,7,7
25,7,7
26,7,7
27,9,8
28,6,7
29,7,8
30,8,8
31,6,8
32,9,8
33,7,8
34,8,8
35,3,7
36,4,6
37,8,8
38,5,6
39,3,7
40,6,6
41,5,6
42,6,6
43,8,8
44,6,6
45,6,6
46,6,6
47,7,7
48,8,8
49,8,8
50,5,5
51,6,8
52,7,8
53,7,8
54,8,8
55,8,8
56,8,8
57,8,8
58,6,6
59,8,8
60,8,7
61,6,6
62,4,6
63,7,8
64,8,7
65,8,8
66,8,8
67,8,8
68,7,8
69,7,8
70,7,8
71,6,7
72,7,8
73,8,8
74,8,8
75,2,6
76,6,7
77,6,7
78,6,7
79,6,7
80,2,4
81,9,8
82,9,8
83,6,7
84,6,6
85,6,7
86,5,5
87,8,8
88,6,6
89,7,7
90,7,8
91,8,8
92,7,8
93,2,4
94,7,7
95,6,6
96,5,5
97,5,5
98,6,6
99,7,6
100,8,8
101,6,7
102,8,7
103,8,8
104,5,6
105,6,7
106,3,5
107,3,5
108,3,5
109,6,6
110,6,6
111,6,6
112,8,8
113,6,6
114,7,6
115,5,6
116,8,8
117,8,8
118,7,6
119,3,5
120,6,6
121,6,8
122,5,6
123,7,8
124,6,7
125,4,6
126,5,6
127,5,5
128,5,5
129,5,5
130,6,6
131,8,8
132,6,7
133,7,6
134,5,4
135,5,4
136,6,6
137,6,6
138,6,6
139,1,6
140,6,6
141,7,8
142,6,6
143,6,6
144,6,6
145,3,4
146,5,5
147,7,7
148,4,6
149,5,8
150,6,8
151,3,3
152,7,8
153,7,8
154,7,8
155,7,8
156,5,6
157,2,5
158,2,4
159,3,6
160,7,8
161,7,6
162,6,6
163,3,5
164,4,5
165,5,6
166,6,6
167,6,6
168,5,6
169,5,6
170,1,4
171,1,4
172,8,8
173,7,8
174,6,6
175,7,6
176,6,6
177,7,6
178,7,8
179,5,6
180,5,6
181,3,5
182,8,8
183,8,8
184,5,6
185,7,8
186,7,6
187,7,8
188,6,6
189,7,6
190,7,6
191,7,6
192,7,6
193,6,6
194,7,7
195,7,8
196,7,8
197,7,8
198,6,8
199,7,6
200,8,8
201,8,8
202,5,6
203,5,6
204,6,8
205,8,8
206,6,6
207,6,6
208,6,6
209,6,6
210,6,7
211,1,4
212,2,5
