,Expected,Prediction
0,6,6
1,6,6
2,6,6
3,7,7
4,7,7
5,4,6
6,8,8
7,5,8
8,5,8
9,6,5
10,7,8
11,6,7
12,8,7
13,8,7
14,3,5
15,3,5
16,2,5
17,8,8
18,7,7
19,4,5
20,7,8
21,7,8
22,8,8
23,7,8
24,4,5
25,4,5
26,6,7
27,8,8
28,5,8
29,7,7
30,3,5
31,4,5
32,8,8
33,6,7
34,8,7
35,3,5
36,5,5
37,8,8
38,7,8
39,7,8
40,6,6
41,7,7
42,7,7
43,7,7
44,7,5
45,3,5
46,5,5
47,5,5
48,7,8
49,8,7
50,7,8
51,7,7
52,3,5
53,6,6
54,10,8
55,6,7
56,6,7
57,8,7
58,5,5
59,5,5
60,6,5
61,7,7
62,5,7
63,7,7
64,8,7
65,8,7
66,7,6
67,7,8
68,7,8
69,3,5
70,7,7
71,8,8
72,8,8
73,8,8
74,8,8
75,8,8
76,8,7
77,8,8
78,8,8
79,8,8
80,4,6
81,6,7
82,6,7
83,9,8
84,9,8
85,7,7
86,7,6
87,7,7
88,7,6
89,7,7
90,4,5
91,4,5
92,7,7
93,8,7
94,5,5
95,7,7
96,7,8
97,6,7
98,6,5
99,3,3
100,5,8
101,4,5
102,5,5
103,4,5
104,5,8
105,5,6
106,5,7
107,7,7
108,5,5
109,7,8
110,6,7
111,4,7
112,6,5
113,2,5
114,7,7
115,2,6
116,5,5
117,5,5
118,7,8
119,3,5
120,6,7
121,3,5
122,8,7
123,8,8
124,6,8
125,7,7
126,6,6
127,9,8
128,7,8
129,6,8
130,6,8
131,10,8
132,10,8
133,8,8
134,6,5
135,8,8
136,5,5
137,5,5
138,6,6
139,9,8
140,6,7
141,8,7
142,8,7
143,4,5
144,7,6
145,4,5
146,3,4
147,8,7
148,4,5
149,7,7
150,6,6
151,9,8
152,6,6
153,7,6
154,5,6
155,7,8
156,8,8
157,2,4
158,4,5
159,7,7
160,7,8
161,5,7
162,8,8
163,6,7
164,5,5
165,4,7
166,5,6
167,7,6
168,2,5
169,5,5
170,6,7
171,2,5
172,7,6
173,5,7
174,5,7
175,6,7
176,6,7
177,2,5
178,7,8
179,7,8
180,7,7
181,6,7
182,7,7
183,6,8
184,6,7
185,8,7
186,5,7
187,7,7
188,7,7
189,6,5
190,9,8
191,6,7
192,4,5
193,7,7
194,7,7
195,7,7
196,7,7
197,5,6
198,8,8
199,8,8
200,8,8
201,8,8
202,8,8
203,7,7
204,3,3
205,3,7
206,7,8
207,3,5
208,8,8
