,date,genres,name,platform,score
0,"January 2, 2007","Puzzle, Action",Diamond Rush,Wireless,7.2
1,"January 2, 2007",Strategy,Oasis [2006],Wireless,7.2
2,"January 3, 2007",Simulation,Special Crime Unit: Blood on Campus,Wireless,8.0
3,"January 3, 2007",Music,Karaoke Revolution Presents: American Idol,PlayStation 2,8.4
4,"January 3, 2007",Adventure,Sam & Max: Season One -- Episode #2: Situation: Comedy,PC,7.8
5,"January 4, 2007","Puzzle, Action",Egg vs. Chicken,Wireless,6.5
6,"January 4, 2007",Sports,Rocky Legacy,Wireless,5.3
7,"January 5, 2007",Action,Lost Planet: Extreme Condition,Xbox 360,8.5
8,"January 5, 2007",Action,24: Agent Down,Wireless,8.0
9,"January 8, 2007","Racing, Action",GripShift,PlayStation 3,7.0
10,"January 8, 2007",RPG,Final Fantasy V Advance,Game Boy Advance,8.5
11,"January 9, 2007",Action,Lost Planet: Trag Zero,Wireless,6.0
12,"January 9, 2007",Shooter,Gradius,NES,7.0
13,"January 9, 2007",Action,Star Wars: Lethal Alliance,PlayStation Portable,7.0
14,"January 9, 2007",Shooter,Gradius,Wii,7.0
15,"January 10, 2007",Party,Rayman Raving Rabbids,PlayStation 2,5.0
16,"January 10, 2007",Platformer,Super Mario 64,Wii,9.0
17,"January 10, 2007",Action,Ms. Pac-Man,Xbox 360,7.0
18,"January 10, 2007",Action,Arthur and the Invisibles: The Game,PlayStation 2,7.5
19,"January 11, 2007",Action,Princess Natasha: Student~Secret Agent~Princess,Game Boy Advance,4.5
20,"January 11, 2007",Action,Over the Hedge: Hammy Goes Nuts!,Nintendo DS,4.8
21,"January 11, 2007","Card, Compilation",Uno / Skip-Bo / Uno Freefall,Nintendo DS,4.5
22,"January 11, 2007",Racing,Cartoon Network Racing,Nintendo DS,5.8
23,"January 11, 2007",Action,Ghost Rider,Wireless,6.0
24,"January 11, 2007",Action,Over the Hedge: Hammy Goes Nuts!,Game Boy Advance,6.5
25,"January 11, 2007",Action,Super Castlevania IV,Wii,8.0
26,"January 11, 2007",RPG,Yggdra Union: We'll Never Fight Alone,Game Boy Advance,7.8
27,"January 12, 2007",Action,Wario Ware: Smooth Moves,Wii,8.2
28,"January 12, 2007",Card,ESPN Poker Club,Wireless,8.2
29,"January 12, 2007",Shooter,R-Type,Wii,7.5
30,"January 16, 2007",Action,Meteos,Wireless,8.7
31,"January 16, 2007",Sports,NCAA March Madness 07,Xbox 360,7.9
32,"January 16, 2007",Sports,Baseball [1985],Wii,5.5
33,"January 16, 2007",Fighting,Street Fighter II: The World Warrior,Wii,7.0
34,"January 16, 2007",Action,Altered Beast,Genesis,5.0
35,"January 16, 2007",Action,Altered Beast,Wii,5.0
36,"January 16, 2007",Sports,Baseball [1985],NES,5.5
37,"January 17, 2007",Shooter,Brothers in Arms D-Day,PlayStation Portable,6.4
38,"January 17, 2007",Racing,New Rally-X,Xbox 360,4.0
39,"January 17, 2007",Adventure,Phoenix Wright: Ace Attorney -- Justice For All,Nintendo DS,7.8
40,"January 17, 2007",Sports,NCAA March Madness 07,PlayStation 2,5.9
41,"January 17, 2007",Adventure,Scooby-Doo! Who's Watching Who?,PlayStation Portable,5.3
42,"January 17, 2007",Strategy,High Seas: Guns & Gold,Wireless,8.0
43,"January 18, 2007","Action, Adventure",Fullmetal Alchemist: Dual Sympathy,Nintendo DS,5.5
44,"January 18, 2007",Action,Totally Spies! 2: Undercover,Game Boy Advance,4.0
45,"January 18, 2007",Action,Heavy Weapon: Atomic Tank,Xbox 360,7.3
46,"January 18, 2007",Action,Princess Natasha: Student~Secret Agent~Princess,Nintendo DS,4.5
47,"January 18, 2007",Adventure,March of the Penguins,Nintendo DS,4.0
48,"January 18, 2007",Action,Lost,Wireless,6.5
49,"January 18, 2007",Action,Warhammer: Battle for Atluma,PlayStation Portable,6.0
50,"January 18, 2007",Action,Totally Spies! 2: Undercover,Nintendo DS,4.0
51,"January 19, 2007",Platformer,The Legend of Spyro: A New Beginning,Game Boy Advance,4.5
52,"January 19, 2007",Action,The Ant Bully,Wii,4.5
53,"January 19, 2007","Flight, Action",F-24 Stealth Fighter,Game Boy Advance,3.5
54,"January 19, 2007",Action,Xiaolin Showdown,Nintendo DS,5.0
55,"January 19, 2007",Shooter,Centipede (Glu Mobile Version),Wireless,7.0
56,"January 19, 2007",Puzzle,Jewel Quest II,Wireless,8.0
57,"January 22, 2007",Strategy,Brigade E5: New Jagged Union,PC,3.0
58,"January 22, 2007",Puzzle,X-Men: The Last Stand Mind Maze,Wireless,6.0
59,"January 22, 2007","Action, Adventure",Sid Meier's Pirates!,PlayStation Portable,9.0
60,"January 22, 2007","Action, Adventure",The Legend of Zelda: A Link to the Past,Wii,9.5
61,"January 23, 2007",RPG,Legend of Heroes III: Song of the Ocean,PlayStation Portable,6.5
62,"January 23, 2007",Shooter,Xevious,Wii,6.0
63,"January 23, 2007",Adventure,Barnyard,Wii,5.8
64,"January 23, 2007",Virtual Pet,Mo-Pets,Wireless,7.7
65,"January 23, 2007",Action,The Shield,PlayStation 2,2.2
66,"January 23, 2007",Racing,Moto Roader,Wii,6.0
67,"January 23, 2007",Racing,Moto Roader,TurboGrafx-16,6.0
68,"January 24, 2007","Action, Adventure",ToeJam & Earl,Wii,7.0
69,"January 24, 2007",Adventure,Path of a Warrior,Wireless,7.2
70,"January 24, 2007",Strategy,Europa Universalis III,PC,8.5
71,"January 24, 2007",Adventure,Hotel Dusk: Room 215,Nintendo DS,7.9
72,"January 25, 2007","Racing, Action",Novadrome,Xbox 360,3.7
73,"January 26, 2007",Racing,F-Zero,Super NES,7.5
74,"January 26, 2007",Platformer,Sonic the Hedgehog (Genesis),Wii,8.0
75,"January 26, 2007",Simulation,The Sopranos Bada Bing! Manager,Wireless,7.3
76,"January 26, 2007",Racing,F-Zero,Wii,7.5
77,"January 26, 2007",Strategy,Battlestations: Midway,Xbox 360,8.5
78,"January 26, 2007",Card,Jewel Quest Solitaire,Wireless,8.5
79,"January 29, 2007",Action,Contra III: The Alien Wars,Wii,8.0
80,"January 29, 2007",Action,Desperate Housewives,Wireless,7.5
81,"January 29, 2007",Fighting,Tekken 2,PlayStation Portable,6.2
82,"January 29, 2007",Action,Contra III: The Alien Wars,Super NES,8.0
83,"January 29, 2007",Racing,Rally Cross,PlayStation Portable,6.0
84,"January 30, 2007",Action,SpongeBob Squarepants: Creature from the Krusty Krab,Wireless,4.5
85,"January 30, 2007","Racing, Action",Mario Kart 64,Wii,7.9
86,"January 30, 2007","Action, Simulation",Battlestations: Midway,PC,8.5
87,"January 30, 2007","Action, Adventure",Open Season,Wii,6.0
88,"January 30, 2007",RPG,World of Warcraft: The Burning Crusade,PC,8.8
89,"January 30, 2007",Casino,Hard Rock Casino,PlayStation 2,4.5
90,"January 30, 2007",Action,The Shield,PC,2.1
91,"January 31, 2007",RPG,Rogue Galaxy,PlayStation 2,8.7
92,"January 31, 2007",Sports,Pool Pro Online II,Wireless,8.0
93,"February 1, 2007",Party,Fuzion Frenzy 2,Xbox 360,6.0
94,"February 2, 2007",Adventure,Phoenix Wright: Ace Attorney,Wireless,7.8
95,"February 5, 2007",Sports,Winning Eleven: Pro Evolution Soccer 2007,PlayStation 2,8.6
96,"February 5, 2007",Racing,Jet Moto,PlayStation Portable,7.0
97,"February 5, 2007","Racing, Action",Diddy Kong Racing DS,Nintendo DS,7.1
98,"February 5, 2007",Adventure,"Sam & Max: Season One -- Episode #3: The Mole, the Mob and the Meatball",PC,6.6
99,"February 5, 2007",Sports,MVP 07 NCAA Baseball,PlayStation 2,7.6
100,"February 5, 2007",Sports,Winning Eleven: Pro Evolution Soccer 2007,Xbox 360,8.3
101,"February 5, 2007","Action, Adventure",Avatar: The Last Airbender,PC,5.0
102,"February 5, 2007",Sports,Winning Eleven: Pro Evolution Soccer 2007,PlayStation Portable,8.5
103,"February 5, 2007",Racing,Need for Speed Carbon 2D,Wireless,7.0
104,"February 5, 2007",Card,World Series of Poker: Tournament of Champions -- 2007 Edition,Wii,4.0
105,"February 5, 2007",Platformer,Super Mario World,Wii,8.5
106,"February 6, 2007",Action,Call of Duty 3,Wireless,7.5
107,"February 6, 2007","Puzzle, Compilation",Capcom Puzzle World,PlayStation Portable,6.9
108,"February 6, 2007",Action,Vigilante,Wii,6.5
109,"February 7, 2007",Platformer,Sonic the Hedgehog,PlayStation 3,4.2
110,"February 7, 2007",RPG,Lunar Knights,Nintendo DS,8.2
111,"February 7, 2007",Racing,"SnoCross 2 Featuring ""Air"" Blair Morgan",PlayStation 2,4.2
