,date,genres,name,platform,score
0,"January 2, 2002",Action,Star Wars: Obi-Wan,Xbox,5.9
1,"January 2, 2002",Action,Mega Man X6,PlayStation,8.0
2,"January 3, 2002",Action,Blood Wake,Xbox,8.4
3,"January 3, 2002","Fighting, Action",Fighting Legends,PC,6.5
4,"January 4, 2002",Adventure,Silent Hill 2: Restless Dreams,Xbox,8.2
5,"January 7, 2002",Strategy,Conflict Zone: Modern War Strategy,Dreamcast,5.6
6,"January 7, 2002",Simulation,Battlecruiser Millennium,PC,7.2
7,"January 7, 2002",Action,Headhunter,Dreamcast,9.0
8,"January 8, 2002","Sports, Action",Clusterball,PC,6.8
9,"January 8, 2002",Music,Rez,PlayStation 2,8.5
10,"January 9, 2002",Sports,NFL 2K2,Xbox,8.3
11,"January 9, 2002",Puzzle,Tetris Worlds,PC,5.7
12,"January 10, 2002",Sports,Backyard Basketball 2004,PC,6.5
13,"January 10, 2002",Fighting,Mortal Kombat Advance,Game Boy Advance,2.0
14,"January 10, 2002",Sports,NCAA March Madness 2002,PlayStation 2,5.0
15,"January 10, 2002",Action,Universal Studios Theme Park Adventure,GameCube,3.0
16,"January 10, 2002",Racing,MX 2002 Featuring Ricky Carmichael,Game Boy Advance,5.0
17,"January 10, 2002",Sports,NFL QB Club 2002,GameCube,5.4
18,"January 11, 2002",Racing,Cel Damage,GameCube,6.3
19,"January 14, 2002",Sports,NBA 2K2,PlayStation 2,8.6
20,"January 14, 2002","Racing, Action",The Simpsons Road Rage,GameCube,5.8
21,"January 15, 2002",RPG,Gothic,PC,8.6
22,"January 15, 2002",Racing,Driven,Game Boy Advance,6.5
23,"January 15, 2002",Simulation,Harvest Moon GBC 3,Game Boy Color,7.0
24,"January 16, 2002",Simulation,Trevor Chan's Capitalism II,PC,9.0
25,"January 18, 2002",Shooter,Medal of Honor: Allied Assault,PC,9.3
26,"January 22, 2002",Music,Parappa The Rapper 2,PlayStation 2,7.0
27,"January 22, 2002",Strategy,Original War,PC,4.5
28,"January 22, 2002",Simulation,Black & White: Creature Isle,PC,7.9
29,"January 22, 2002",Strategy,Hoshigami: Ruining Blue Earth,PlayStation,4.0
30,"January 23, 2002",Sports,NBA Courtside 2002,GameCube,7.5
31,"January 23, 2002",Strategy,Mobile Suit Gundam: Zeonic Front,PlayStation 2,6.5
32,"January 24, 2002",Wrestling,WWF Road to WrestleMania,Game Boy Advance,3.0
33,"January 24, 2002",Action,Star Wars: Jedi Power Battles,Game Boy Advance,4.0
34,"January 24, 2002",Sports,NBA Inside Drive 2002,Xbox,8.7
35,"January 24, 2002",Action,The Powerpuff Girls: Mojo Jojo A-Go-Go!,Game Boy Advance,6.5
36,"January 25, 2002",Strategy,Car Tycoon,PC,4.2
37,"January 25, 2002","Sports, Simulation",Baseball Mogul 2002,PC,8.7
38,"January 28, 2002",Strategy,Demon World: Dark Armies,PC,3.0
39,"January 28, 2002",Strategy,Disciples II: Dark Prophecy,PC,8.6
40,"January 29, 2002",Sports,SimGolf,PC,8.5
41,"January 29, 2002",Sports,AirBlade,PlayStation 2,7.7
42,"January 30, 2002",Action,Tekken Advance,Game Boy Advance,8.5
43,"January 30, 2002",Platformer,Kao the Kangaroo,Game Boy Advance,5.0
44,"January 30, 2002",Action,Dark Arena,Game Boy Advance,8.0
45,"January 30, 2002","Action, Adventure",Genma Onimusha,Xbox,8.3
46,"January 31, 2002",Sports,Salt Lake 2002,PlayStation 2,2.0
47,"February 1, 2002","Action, Adventure",Drakan: The Ancients' Gates,PlayStation 2,8.1
48,"February 1, 2002","Flight, Action",Star Wars Starfighter,PC,7.7
49,"February 5, 2002",Platformer,Sonic Advance,Game Boy Advance,9.1
