,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,Capcom,"Puzzle, Action",One Piece Mansion,PlayStation,Capcom,"Sep 30, 2001","Oct 12, 2001",7.3,7.1
1,Flying Lab Software,"Strategy, Real-Time",Rails Across America,PC,Strategy First,"Sep 18, 2001","Oct 11, 2001",7.6,7.4
2,Digital Eclipse,"Beat-'Em-Up, 2D, Action",X-Men: Reign of Apocalypse,Game Boy Advance,Activision,"Sep 25, 2001","Oct 11, 2001",7.1,6.9
3,Sun-Tec,"Action, 2D, Beat-'Em-Up",Final Fight One,Game Boy Advance,Capcom,"Sep 26, 2001","Oct 11, 2001",8.4,8.0
4,Arc System Works,"2D, Action, Fighting",Guilty Gear X,"Arcade Games,Dreamcast,PC,PlayStation 2","Sammy Studios, I-DreamSoft, CyberFront, Virgin Interactive","Sep 30, 2001","Oct 11, 2001",7.9,8.2
5,Paradox Development,"Fighting, Action, 3D",X-Men: Mutant Academy 2,PlayStation,"Activision, Success","Sep 17, 2001","Oct 10, 2001",8.4,8.1
6,Vicarious Visions,"2D, Action, Platformer",Spider-Man: Mysterio's Menace,Game Boy Advance,"Success, Activision","Sep 19, 2001","Oct 10, 2001",8.5,8.0
7,989 Sports,"Sports, Team-Based, Basketball, Simulation",NBA ShootOut 2002,PlayStation,SCEA,"Sep 1, 2001","Oct 10, 2001",6.1,6.5
8,"Westwood Studios, Electronic Arts","Strategy, Real-Time",Command & Conquer: Red Alert 2,PC,"Sold Out Software, Electronic Arts, Novitas, EA Games","Oct 21, 2000","Oct 10, 2001",8.5,8.7
9,Virtucraft,"Simulation, Flight",F-14 Tomcat,Game Boy Advance,"Majesco Games, THQ","Sep 2, 2001","Oct 9, 2001 ",7.2,6.9
10,Capcom,"Action, 2D, Fighting",Capcom vs. SNK 2,"Arcade Games,Dreamcast,GameCube,PlayStation 2,Xbox","Capcom, SCEA","Nov 6, 2001","Oct 9, 2001 ",7.9,8.3
11,Inland Productions,"Arcade, Driving/Racing",Arctic Thunder,"Arcade Games,PlayStation 2,Xbox",Midway,"Sep 17, 2001","Oct 9, 2001 ",3.6,5.8
12,"Sega, Smilebit","Action, Light-Gun, Shooter",The Typing of the Dead,"Arcade Games,Dreamcast,PC","Sega, Empire Interactive","Jan 23, 2001","Oct 9, 2001 ",7.5,8.2
13,Visiware Studios,"Adventure, Action",Planet of the Apes,"PC,PlayStation",Ubisoft,"Sep 19, 2001","Oct 9, 2001 ",3.1,5.0
14,Sonalysts,Simulation,Sub Command,PC,"Strategy First, Electronic Arts","Sep 12, 2001","Oct 8, 2001 ",8.4,8.1
15,"Mobius Entertainment, 3DO","Simulation, Sports, Team-Based, Baseball",High Heat Major League Baseball 2002,"Game Boy Advance,PC,PlayStation,PlayStation 2",3DO,"Mar 14, 2001","Oct 8, 2001 ",6.0,7.3
16,"Darkworks, Pocket Studios, Spiral House","Survival, 3D, Action, Adventure",Alone in the Dark: The New Nightmare,"Dreamcast,Game Boy Color,PC,PlayStation,PlayStation 2","Infogrames, Sold Out Software, CyberFront, Atari SA, Capcom, SCEA","Jun 18, 2001","Oct 8, 2001 ",6.9,7.2
17,Studio Liverpool,"Simulation, Driving/Racing",Formula One 2001,"PC,PlayStation 2","SCEE, SCEA, SCEI","Sep 24, 2001","Oct 4, 2001 ",7.2,7.1
18,Click Entertainment,"Action, Role-Playing",Throne of Darkness,PC,Sierra Entertainment,"Sep 24, 2001","Oct 4, 2001 ",7.1,7.5
19,Koei,"Strategy, Real-Time",Kessen II,PlayStation 2,"Koei, THQ, SCEA","Sep 26, 2001","Oct 4, 2001 ",7.7,8.0
