,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,Black Ops Entertainment,"Team-Based, Arcade, Basketball, Sports",Street Hoops,"GameCube,PlayStation 2,Xbox",Activision,"Aug 12, 2002","Aug 19, 2002",4.0,6.2
1,"BudCat, EA Sports, EA Tiburon","Football (American), Simulation, Sports, Team-Based",Madden NFL 2003,"Game Boy Advance,GameCube,PC,PlayStation,PlayStation 2,Xbox","EA Sports, Electronic Arts","Aug 12, 2002","Aug 19, 2002",8.6,8.4
2,989 Sports,"Team-Based, Football (American), Simulation, Sports",NFL GameDay 2003,"PlayStation,PlayStation 2","SCEA, SCEE","Aug 12, 2002","Aug 16, 2002",6.9,6.3
3,The Collective,"2D, Beat-'Em-Up, Action",Buffy the Vampire Slayer,Xbox,Electronic Arts,September 2000,"Aug 16, 2002",8.3,8.2
4,"Capcom, Klein Computer Entertainment","Action, Fighting, 2D",Capcom vs. SNK: Millennium Fight 2000 Pro,"Arcade Games,Dreamcast,PlayStation",Capcom,"Aug 14, 2002","Aug 16, 2002",6.7,7.8
5,"HotGen, Gratuitous Games, Rainbow Studios",Sports,Mat Hoffman's Pro BMX 2,"Game Boy Advance,GameCube,PlayStation 2,Xbox","Activision, Capcom","Aug 12, 2002","Aug 15, 2002",7.2,7.4
6,"HotGen, Gratuitous Games, Rainbow Studios",Sports,Mat Hoffman's Pro BMX 2,"Game Boy Advance,GameCube,PlayStation 2,Xbox","Activision, Capcom","Aug 12, 2002","Aug 15, 2002",7.2,7.4
7,Sega AM2,"Sports, Team-Based",Beach Spikers: Virtua Beach Volleyball,"Arcade Games,GameCube",Sega,"Aug 12, 2002","Aug 15, 2002",8.1,8.0
8,"Yoyo Entertainment, Rage Software","Sports, Team-Based, Simulation, Soccer",David Beckham Soccer,"Game Boy Advance,Game Boy Color,PlayStation,PlayStation 2","Majesco Games, Rage Software",June 2002,"Aug 14, 2002",7.4,5.2
9,Rockstar San Diego,"Arcade, Driving/Racing",Smuggler's Run: Warzones,GameCube,Rockstar Games,"Aug 7, 2002","Aug 14, 2002",7.8,7.7
10,"Torus Games, Namco","3D, Action, Shooter, Third-Person",Dead to Rights,"Game Boy Advance,GameCube,PC,PlayStation 2,Xbox","Zoo Digital Publishing, Namco, Electronic Arts, Hip Games, Bandai Namco Games","Aug 19, 2002","Aug 14, 2002",7.6,7.2
11,Humongous Entertainment,"Strategy, Real-Time",MoonBase Commander,PC,"Rebellion, Infogrames, Eidos Interactive","Aug 13, 2002","Aug 14, 2002",8.3,8.1
12,"BudCat, EA Sports, EA Tiburon","Sports, Team-Based, Football (American), Simulation",Madden NFL 2003,"Game Boy Advance,GameCube,PC,PlayStation,PlayStation 2,Xbox","EA Sports, Electronic Arts","Aug 12, 2002","Aug 13, 2002",9.0,8.4
13,"BudCat, EA Sports, EA Tiburon","Simulation, Sports, Team-Based, Football (American)",Madden NFL 2003,"Game Boy Advance,GameCube,PC,PlayStation,PlayStation 2,Xbox","EA Sports, Electronic Arts","Aug 12, 2002","Aug 13, 2002",8.6,8.4
14,Visual Concepts,"Team-Based, Football (American), Simulation, Sports",NFL 2K3,"GameCube,PlayStation 2,Xbox",Sega,"Aug 12, 2002","Aug 13, 2002",9.6,8.2
15,"OutLook Entertainment, Point of View","Team-Based, Arcade, Football (American), Sports",NFL Blitz 20-03,"Game Boy Advance,GameCube,PlayStation 2,Xbox",Midway,"Aug 12, 2002","Aug 12, 2002",8.3,7.8
16,"OutLook Entertainment, Point of View","Football (American), Sports, Team-Based, Arcade",NFL Blitz 20-03,"Game Boy Advance,GameCube,PlayStation 2,Xbox",Midway,"Aug 12, 2002","Aug 12, 2002",8.0,7.8
17,Visual Concepts,"Simulation, Sports, Team-Based, Football (American)",NFL 2K3,"GameCube,PlayStation 2,Xbox",Sega,"Aug 12, 2002","Aug 12, 2002",9.1,8.2
18,Visual Concepts,"Simulation, Sports, Team-Based, Football (American)",NFL 2K3,"GameCube,PlayStation 2,Xbox",Sega,"Aug 12, 2002","Aug 12, 2002",9.1,8.2
19,Digital Eclipse,"Platformer, 2D, Action",xXx,Game Boy Advance,Activision,"Jul 31, 2002","Aug 7, 2002 ",4.0,4.2
20,Microsoft Game Studios,"Football (American), Simulation, Sports, Team-Based",NFL Fever 2003,Xbox,Microsoft Game Studios,"Aug 5, 2002","Aug 6, 2002 ",7.2,7.6
21,"Crave, Opus","Boxing, Sports",Ultimate Fighting Championship: Throwdown,"GameCube,PlayStation 2","Ubisoft, Crave, Capcom","Jun 3, 2002","Aug 6, 2002 ",7.2,7.2
22,SCE Studio Cambridge,"Third-Person, 3D, Action, Shooter",C-12: Final Resistance,PlayStation,"SCEE, SCEA","Jul 22, 2002","Aug 5, 2002 ",5.5,6.7
23,Avalanche Software,"Team-Based, Football (American), Simulation, Sports",NCAA College Football 2K3,"GameCube,PlayStation 2,Xbox",Sega,"Aug 7, 2002","Aug 5, 2002 ",7.0,6.9
24,Avalanche Software,"Simulation, Sports, Team-Based, Football (American)",NCAA College Football 2K3,"GameCube,PlayStation 2,Xbox",Sega,"Aug 7, 2002","Aug 2, 2002 ",7.0,6.9
25,"Codemasters, Atomic Planet Entertainment","Sports, Boxing",Mike Tyson Heavyweight Boxing,"PlayStation 2,Xbox",Codemasters,"Jun 23, 2002","Aug 2, 2002 ",2.8,4.7
26,SCE Japan Studio,"Platformer, Action, 3D",Ape Escape 2,"PlayStation 2,PlayStation 4","SCEI, Ubisoft, SCEE, Sony Interactive Entertainment","Jun 30, 2003","Aug 1, 2002 ",8.0,8.4
27,M4 Limited,"Adventure, Survival, 3D, Action",Resident Evil Gaiden,Game Boy Color,"Capcom, Virgin Interactive","Jun 3, 2002","Jul 31, 2002",5.0,5.7
28,Natsume,"2D, Fighting, Action",Medabots AX,Game Boy Advance,"Natsume, Rocket Company","Jun 25, 2002","Jul 31, 2002",5.1,7.0
29,EA Sports,"Sports, Team-Based, Football (American), Simulation",NCAA Football 2003,"GameCube,PlayStation 2,Xbox","Electronic Arts, EA Sports","Jul 20, 2002","Jul 30, 2002",8.8,8.5
30,Prograph,"Action, Shooter, Third-Person, 3D",Tsunami 2265,PC,"Russobit-M, Got Game Entertainment","Aug 4, 2002","Jul 30, 2002",2.6,4.8
31,Starbreeze,"Adventure, Action",Enclave,"Linux,Macintosh,PC,Xbox","TopWare Interactive, VU Games, Swing! Deutschland, Conspiracy Entertainment","Jul 29, 2002","Jul 29, 2002",6.8,7.5
