,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,Lavastorm,"Arcade, Football (American), Sports, Team-Based",Fox Sports Football,Mobile,Sorrent,"Jun 13, 2003","Jan 1, 2002 ",7.9,6.3
1,FUN Labs,"Action, First-Person, Shooter, 3D",Secret Service: In Harm's Way,PC,Activision Value,"Nov 23, 2001","Dec 21, 2001",6.7,6.2
2,LK Avalon,Adventure,Schizm: Mysterious Journey,PC,"DreamCatcher Interactive, LK Avalon","Oct 17, 2001","Dec 21, 2001",7.8,7.0
3,"Mass Media, Namco",Compilation,Namco Museum (2002),"Dreamcast,Game Boy Advance,GameCube,PlayStation 2,PSP,Xbox","Namco, Bandai Namco Games, Infogrames","Jun 25, 2000","Dec 21, 2001",6.8,7.3
4,KCEO,"Sports, Hunting/Fishing",ESPN Great Outdoor Games Bass 2002,Game Boy Advance,Konami,"Nov 29, 2001","Dec 20, 2001",6.9,7.1
5,Starfish,"Hunting/Fishing, Sports",American Bass Challenge,Game Boy Advance,"Starfish, Ubisoft","Dec 5, 2001","Dec 20, 2001",6.1,7.2
6,Sony Online Entertainment,"MMO, Role-Playing",EverQuest: The Shadows of Luclin,PC,Sony Online Entertainment,"Dec 2, 2001","Dec 20, 2001",8.4,8.0
7,WideScreen Games,"Adventure, Action",Frank Herbert's Dune,"PC,PlayStation 2","DreamCatcher Interactive, Cryo Interactive","Dec 14, 2001","Dec 20, 2001",3.3,4.3
8,Enlight Software,"Strategy, Management",Capitalism II,PC,"Ubisoft, Encore Software, Inc.","Dec 16, 2001","Dec 19, 2001",8.5,8.4
9,Sacnoth,Role-Playing,Shadow Hearts,PlayStation 2,"Aruze Corp, Midway","Dec 11, 2001","Dec 19, 2001",7.9,8.5
10,Stormfront Studios,"Action, Role-Playing",The Legend of Alon D'ar,PlayStation 2,Ubisoft,"Dec 4, 2001","Dec 19, 2001",3.5,4.8
11,"Crawfish Interactive, Bam Entertainment","Simulation, Driving/Racing",Driven,"Game Boy Advance,GameCube,PlayStation 2",Bam Entertainment,"Nov 6, 2001","Dec 19, 2001",7.1,5.0
12,"Full Fat, Z-Axis, Ltd.",Sports,Dave Mirra Freestyle BMX 2,"Game Boy Advance,GameCube,PlayStation 2,Xbox","Acclaim, Liquid Games","Aug 27, 2001","Dec 18, 2001",9.2,7.2
13,Piranha Bytes,Role-Playing,Gothic,PC,"JoWooD Entertainment AG, Xicat Interactive, THQ","Nov 23, 2001","Dec 18, 2001",7.2,8.7
14,"3d6 Games, Radical Entertainment, Blue Planet Software","Matching/Stacking, Puzzle",Tetris Worlds,"Game Boy Advance,GameCube,PC,PlayStation 2,Xbox","THQ, Success","Sep 5, 2001","Dec 18, 2001",3.5,5.9
15,"3000AD, Inc.",Strategy,Battlecruiser Millennium,PC,"3000AD, Inc.","Nov 18, 2001","Dec 17, 2001",6.0,4.9
16,"Visual Impact, EA Sports Big, EA Canada","Sports, Snowboarding/Skiing",SSX Tricky,"Game Boy Advance,GameCube,PlayStation 2,Xbox","EA Sports Big, Electronic Arts, Electronic Arts Victor","Nov 5, 2001","Dec 17, 2001",8.8,8.8
17,"BudCat, EA Sports","Hockey, Simulation, Sports, Team-Based",NHL 2002,"Game Boy Advance,PC,PlayStation 2,Xbox","EA Sports, Electronic Arts, Electronic Arts Victor","Sep 17, 2001","Dec 17, 2001",8.7,8.5
18,"Runecraft, HotGen, Gray Matter, Shaba Games",Sports,Mat Hoffman's Pro BMX,"Dreamcast,Game Boy Advance,Game Boy Color,PC,PlayStation","Activision, Success","May 14, 2001","Dec 17, 2001",8.1,7.4
19,Xpiral,"Driving/Racing, Simulation",Larry Ragland 4x4 Challenge,PC,Xicat Interactive,"Nov 30, 2001","Dec 14, 2001",4.9,6.4
20,"SquareSoft, Virtuos",Role-Playing,Final Fantasy X,"PlayStation 2,PlayStation Vita","Square Enix, SquareSoft, Square EA, SCEE, SCE Australia","Dec 17, 2001","Dec 14, 2001",9.3,9.3
